Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
fuck 2020,https://pbs.twimg.com/media/EqnmiDcXMAE5AbS?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1344860289662152705,"Dec 31, 2020",22,183,2.2K,
MOON FARM,https://pbs.twimg.com/media/EqildcDWMAEsfc7?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1344506621003767808,"Dec 30, 2020",11,132,1.4K,
thank you so much to everyone who came out to listen and chat and a HUGE thank you to ,https://pbs.twimg.com/media/EqiLvWYUwAAvnkC?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1344486803865128960,"Dec 30, 2020",4,2,113,
doing AMA on clubhouse now!  come hang!!!!! ,,@beeple,https://twitter.com/beeple/status/1344358061637574657,"Dec 30, 2020",7,9,80,
2PM EST on clubhouse today!!! Come hang!!!! ,,@beeple,https://twitter.com/beeple/status/1344289189500747777,"Dec 30, 2020",2,1,44,
I'm discussing “$3.5MM in Digital Art | ,,@beeple,https://twitter.com/beeple/status/1344086163070578689,"Dec 29, 2020",9,19,126,
WOOKIE ISLAND,https://pbs.twimg.com/media/EqYSNdAXAAAf4kQ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1343782020556746752,"Dec 28, 2020",24,195,2K,
DANCE,https://pbs.twimg.com/media/Eqdb3blWMAIRJzH?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1344144045493399553,"Dec 29, 2020",67,823,5.7K,
just a reminder that the physical tokens will be issued when these are ready to ship (3-4 weeks) to whoever owns the NFT at that time.  you will register on ,,@beeple,https://twitter.com/beeple/status/1343582070371721221,"Dec 28, 2020",13,10,99,
RESET BUTTON,https://pbs.twimg.com/media/EqTGAAHXMAYBOOR?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1343416733407858693,"Dec 27, 2020",25,202,2.3K,
SPACE EXPLORATION,https://pbs.twimg.com/media/EqN8A22XUAAWpR9?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1343053504227717121,"Dec 26, 2020",29,313,3K,
A CHRISTMAS MIRACLE ,,@beeple,https://twitter.com/beeple/status/1342691062704459776,"Dec 25, 2020",23,108,2.2K,
SANTA CAME EARLY,https://pbs.twimg.com/media/EqDoxcxXUAIiMEh?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1342328675035971584,"Dec 24, 2020",62,779,7.2K,
,,@beeple,https://twitter.com/beeple/status/1342184347265331210,"Dec 24, 2020",13,7,136,
talking LIVE with ,,@beeple,https://twitter.com/beeple/status/1341848232696180736,"Dec 23, 2020",3,3,61,
SANTA TRIBUNAL,https://pbs.twimg.com/media/Ep5aJjUW4AE4bgS?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1341609024362573826,"Dec 22, 2020",13,122,1.1K,
WINTER SOLSTICE ,https://pbs.twimg.com/media/Ep0K9t3XMAYI2RY?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1341240640936562690,"Dec 21, 2020",10,143,1.4K,
had a blast doing my first talk in VR in ,,@beeple,https://twitter.com/beeple/status/1341043390562099205,"Dec 21, 2020",5,20,180,
THE AUCTION,https://pbs.twimg.com/media/EpvHPt6XUAA7l_q?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1340884548150816768,"Dec 20, 2020",7,58,828,
SOLITUDE,https://pbs.twimg.com/media/EppIUTlXYAECLn6?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1340463450066186240,"Dec 19, 2020",19,211,2.5K,
,,,,,,,,
,,@beeple,https://twitter.com/beeple/status/1340143406039887873,"Dec 18, 2020",11,21,361,
NORMAL DAY IN SIMULATION (YEAR 1400 X.YC),https://pbs.twimg.com/media/EpkzlsQXMAEt2yc?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1340159647068672012,"Dec 18, 2020",7,76,1.3K,
GROSS,https://pbs.twimg.com/media/Epfp9xsXYAEsjww?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1339796706070831106,"Dec 17, 2020",30,44,802,
SUPPLY AND DEMAND,https://pbs.twimg.com/media/Epag3EQXUAECFrK?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1339434880346841091,"Dec 16, 2020",25,125,1.4K,
ILLESTRATER,https://pbs.twimg.com/media/EpVS6CwXcAAy6WZ?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1339067786363072513,"Dec 15, 2020",40,202,2.2K,
METAKOVAN,https://pbs.twimg.com/media/EpQNqlyXMAEdONL?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1338710051746435072,"Dec 14, 2020",29,120,1.4K,
great article explaining wtf just happened?!?!?!?  ,,@beeple,https://twitter.com/beeple/status/1338851323526189063,"Dec 15, 2020",29,133,614,
here we go...,https://pbs.twimg.com/media/EpPLpBdXcAAguKV?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1338637430031781896,"Dec 14, 2020",80,147,1.9K,
,https://pbs.twimg.com/media/EpLEHZJXUAADXpP?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1338347753752104965,"Dec 13, 2020",13,138,1.8K,
"bah, too kind sir.  had so much fucking fun making it.  ",,@beeple,https://twitter.com/beeple/status/1338349454055845888,"Dec 13, 2020",9,2,190,
,,@beeple,https://twitter.com/beeple/status/1338277789645090822,"Dec 13, 2020",182,195,2.7K,
"ONLY ONE REMAINS....

",,@beeple,https://twitter.com/beeple/status/1338254074077179905,"Dec 13, 2020",36,34,400,
DEAD,,@beeple,https://twitter.com/beeple/status/1338246593141747712,"Dec 13, 2020",24,64,1.2K,
personal fav. ,,@beeple,https://twitter.com/beeple/status/1338220131915272200,"Dec 13, 2020",11,33,554,
FIRST AUCTION ENDS IN 28 MINUTES //  DAY TWO ,,@beeple,https://twitter.com/beeple/status/1338175452989566979,"Dec 13, 2020",16,28,433,
woof,https://pbs.twimg.com/media/EpF6u72XIAYgnBE?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337985526012530688,"Dec 12, 2020",19,30,602,
"wait, why the fuck isn't ",,@beeple,https://twitter.com/beeple/status/1337963026792804358,"Dec 12, 2020",26,75,901,
THIS IS THE ONE.  TRUST ME. ,,@beeple,https://twitter.com/beeple/status/1337931567755309063,"Dec 12, 2020",25,55,718,
hi.,https://pbs.twimg.com/media/EpE6CqpXIAAML7Q?format=jpg&name=900x900,@beeple,https://twitter.com/beeple/status/1337914384572706816,"Dec 12, 2020",17,3,301,
hahahahahha bruh.,,@beeple,https://twitter.com/beeple/status/1337901388349759503,"Dec 12, 2020",5,2,105,
21 MINUTES ,,@beeple,https://twitter.com/beeple/status/1337844621158871054,"Dec 12, 2020",10,25,266,
How it started; how it’s going.,,@beeple,https://twitter.com/beeple/status/1337891335706173442,"Dec 12, 2020",11,12,442,
FIRST AUCTION ENDS 3PM EST / WHO WILL BE THE ,,@beeple,https://twitter.com/beeple/status/1337793424423084032,"Dec 12, 2020",12,21,338,
LOLOLOLOLOLOLOL ,https://pbs.twimg.com/media/EpB-K9rW8AAt4CE?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337790470764834817,"Dec 12, 2020",9,1,205,
this mf. ,https://pbs.twimg.com/media/EpAWq8NUUAEB_x8?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337623409207992320,"Dec 11, 2020",5,1,158,
oof,https://pbs.twimg.com/media/EpAxNOCXYAMVV39?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337623209190055938,"Dec 11, 2020",8,61,1.1K,
2020 COLLECTION EXPLAINED - ,,@beeple,https://twitter.com/beeple/status/1337535404808040450,"Dec 11, 2020",9,13,90,
,,@beeple,https://twitter.com/beeple/status/1337534720893202436,"Dec 11, 2020",4,7,150,
,,@beeple,https://twitter.com/beeple/status/1337532593672228864,"Dec 11, 2020",2,,19,
,,@beeple,https://twitter.com/beeple/status/1337527762609975297,"Dec 11, 2020",3,1,87,
Hahahaha ,,@beeple,https://twitter.com/beeple/status/1337498248882380803,"Dec 11, 2020",1,,62,
INCLUDES PHYSICAL TOKEN ,,@beeple,https://twitter.com/beeple/status/1337492971676196870,"Dec 11, 2020",11,28,237,
TONIGHT 7PM EST ,,@beeple,https://twitter.com/beeple/status/1337409682328129542,"Dec 11, 2020",40,115,605,
,https://pbs.twimg.com/media/Eo7qaUDXYAE-tNq?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337263879924092929,"Dec 10, 2020",22,23,794,
HAIR SAMPLE,https://pbs.twimg.com/media/Eo7m2bkXMAUY-kA?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337260109605564419,"Dec 10, 2020",13,39,694,
"yes, want to make this very clear.  

these are very much meant to be ONE piece of art that has both a physical and digital component that work TOGETHER.  so whoever owns the digital piece when we're ready to ship, will get the physical token.  ",,@beeple,https://twitter.com/beeple/status/1337236999053447168,"Dec 10, 2020",4,3,94,
FRIDAY 7PM EST ,,@beeple,https://twitter.com/beeple/status/1337061171078303745,"Dec 10, 2020",30,44,429,
FOR PUMPED FOR THIS!!   doing a talk in ,,@beeple,https://twitter.com/beeple/status/1337045787549839363,"Dec 10, 2020",2,3,56,
"hahaha, wow, you explained it much better than i could. ",https://pbs.twimg.com/media/EozzpHJW8AYenKI?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1337028184928382976,"Dec 10, 2020",7,4,173,
