Contenido,Imagen,Usuario,URL,fecha,comentarios,retweet,like,vistas
"GM!!   today was the original deadline for artist's submissions for the gallery opening!!   

but due to a massive amount of last second (u fockers!!)  interest we have decided to extend this until Friday 2/3 11:59pm EST!!!!  

SHOW US YER ART!!  ",,@beeple,https://twitter.com/beeple/status/1620805889191215106,"Feb 1, 2023",167,79,420,62K
GARFPILE,https://pbs.twimg.com/media/Fn2yPf3WQAgu4r1?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1620647425567498244,"Jan 31, 2023",79,138,1.1K,58K
"ugh, be careful out there. Someone being as a-hole with this fake site ",https://pbs.twimg.com/media/Fn2VrPSWIAE1ebO?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1620616015444058112,"Jan 31, 2023",43,43,227,51K
OE SEASON GO BRRRR,https://pbs.twimg.com/media/FnxpUF8WQAEgayG?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1620285765233291265,"Jan 30, 2023",264,673,4.2K,343K
"TWO DAYS left to register for the studio opening, free for all beeple NFT collectors!!!!!!1111 ",,@beeple,https://twitter.com/beeple/status/1620129487596965888,"Jan 30, 2023",37,45,221,42K
NEW GAME,https://pbs.twimg.com/media/FnnVnuqWIAA-f0y?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1619560424390930437,"Jan 28, 2023",83,85,1.2K,91K
LATENT SPACE,https://pbs.twimg.com/media/FnsfSjhXwAYF_cy?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1619923145678520320,"Jan 29, 2023",59,161,1.3K,108K
,https://pbs.twimg.com/media/Fnh-RsiaAAEKPFx?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1619525772578029572,"Jan 28, 2023",22,12,118,59K
PORTALS (ONE),https://pbs.twimg.com/media/FniMMQfWQAAHQmu?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1619198368730984449,"Jan 27, 2023",86,101,877,121K
EXIT LIQUIDITY,https://pbs.twimg.com/media/FndCenZXwAIXXCL?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1618835689642262528,"Jan 26, 2023",105,218,1.9K,109K
"WOOO WOOO!!! MY FIRST BOOK!!! 

",,@beeple,https://twitter.com/beeple/status/1618679613722591232,"Jan 26, 2023",336,313,2.4K,287K
ORACLE,https://pbs.twimg.com/media/FnX47g4WAAEmiXO?format=jpg&name=small,@beeple,https://twitter.com/beeple/status/1618473347205173254,"Jan 25, 2023",87,184,1.6K,106K
TUCKER'S ULTIMATE FANTASY,,@beeple,https://twitter.com/beeple/status/1618110454894821376,"Jan 24, 2023",376,1.7K,9.9K,648K
,,@beeple,https://twitter.com/beeple/status/1618068098342584322,"Jan 24, 2023",7,5,57,46K
