Fecha,URL,Imagen,Usuario,Contenido /tweet),comentarios,retweet,like,vistas
12/09/23,https://twitter.com/beeple/status/1733662202442174651,https://pbs.twimg.com/media/GA8wWC3WgAAHAw-?format=jpg&name=small,@beeple,UNIVERSAL EMOTION,243.00,403,2.1K,110K
14/12/23,https://twitter.com/beeple/status/1735523647622717871,https://pbs.twimg.com/media/GBXRhpCWYAAotn3?format=jpg&name=small,@beeple,BOOK EIGHT:  DOBBY AND THE BUTTLOAD OF HOAGIES  ,270.00,178,1.5K,121K
25/12/23,https://twitter.com/beeple/status/1739490771252765054,https://pbs.twimg.com/media/GCPobXbWsAAVHId?format=jpg&name=small,@beeple,ON THE POLE,236.00,233,1.9K,126K
23/12/23,https://twitter.com/beeple/status/1738685879625900472,https://pbs.twimg.com/media/GCENlZKWQAEdLz1?format=jpg&name=small,@beeple,1M elves silently judging you but the big guy knows what up ,255.00,297,2.1K,137K
12/02/23,https://twitter.com/beeple/status/1731170628500169175,https://pbs.twimg.com/media/GAZZk2-XcAAHtKM?format=jpg&name=small,@beeple,NEW BEGINNING,169.00,318,2.3K,142K
31/12/23,https://twitter.com/beeple/status/1740881855090700510,https://pbs.twimg.com/media/GCja0LyX0AA76vu?format=jpg&name=900x900,@beeple,floating through paradise on a river of tears ,282.00,321,2.7K,151.3K
29/12/23,https://twitter.com/beeple/status/1740881855090700510,https://pbs.twimg.com/media/GCja0LyX0AA76vu?format=jpg&name=small,@beeple,floating through paradise on a river of tears ,282.00,321,2.7K,151K
12/06/23,https://twitter.com/beeple/status/1732623888868139374,https://pbs.twimg.com/media/GAuEB21XoAEFE_w?format=jpg&name=small,@beeple,JAMIE DIMON CLOSING DOWN CRYPTO,389.00,1K,3.7K,154K
17/12/23,https://twitter.com/beeple/status/1736609946861461925,https://pbs.twimg.com/media/GBmtQkmWcAEx0QJ?format=jpg&name=small,@beeple,GONE TOO SOON ,167.00,216,1.3K,156K
12/12/23,https://twitter.com/beeple/status/1734799702833393748,https://pbs.twimg.com/media/GBM-1kXWMAA01cq?format=jpg&name=small,@beeple,BANANAS RULE THE WORLD,353.00,432,2.4K,167K
12/03/23,https://twitter.com/beeple/status/1731522799338987560,https://pbs.twimg.com/media/GAeaptoWEAATQFP?format=jpg&name=small,@beeple,BTC 40K,287.00,993,5.3K,200K
24/12/23,https://twitter.com/beeple/status/1739138540875747691,https://pbs.twimg.com/media/GCKo7FMWcAA5Hgk?format=jpg&name=small,@beeple,santa in beastmode handing out green bars to those who believe ,664.00,788,4K,208K
21/12/23,https://twitter.com/beeple/status/1738039169518063919,,@beeple,SOLANA BROS FULL ON TOUCHING TIPS,749.00,422,1.8K,248K
26/12/23,https://twitter.com/beeple/status/1739854830724669469,https://pbs.twimg.com/media/GCU0L3RXYAA7cN_?format=jpg&name=small,@beeple,THE FIRST FOMO,431.00,557,3.3K,248K
28/12/23,https://twitter.com/beeple/status/1740564285862953186,https://pbs.twimg.com/media/GCe4oA2XwAAQDsQ?format=jpg&name=small,@beeple,"ok, whew.  that was dramatic.  ",568.00,245,2.7K,273K
22/12/23,https://twitter.com/beeple/status/1738425211827949807,,@beeple,"the thrilling conclusion of the SOLANA-PENIS trilogy...

'DONGWIFHAT'",627.00,448,2.9K,330K
30/12/23,https://twitter.com/beeple/status/1741298916526543058,https://pbs.twimg.com/media/GCpV3l8WsAA3Xz8?format=jpg&name=4096x4096,@beeple,jamie dimon shoving as much bitcoin as he can up his butt before the ETF is approved.,506.00,583,3.8K,364.8K
20/12/23,https://twitter.com/beeple/status/1737698768777068693,,@beeple,SOLANA SUPER-BONER,1.5K,1.6K,6.1K,481K
18/12/23,https://twitter.com/beeple/status/1736973371999420681,https://pbs.twimg.com/media/GBr3660W0AAfI36?format=jpg&name=small,@beeple,BLACK AND WHITE (GREY EDITION),105.00,185,1.2K,65K
12/10/23,https://twitter.com/beeple/status/1734073649911496767,https://pbs.twimg.com/media/GBCqEyJXEAAndyZ?format=jpg&name=small,@beeple,LONG HARD ROAD OUT,137.00,177,1.2K,68K
12/11/23,https://twitter.com/beeple/status/1734436545044598857,https://pbs.twimg.com/media/GBH0a7qXcAA3WXh?format=jpg&name=small,@beeple,DAY ONE ,117.00,209,1.3K,68K
12/07/23,https://twitter.com/beeple/status/1732983985649717293,https://pbs.twimg.com/media/GAzLh2MXIAAKH6S?format=jpg&name=small,@beeple,HUMAN NATURE,130.00,236,1.6K,68K
12/05/23,https://twitter.com/beeple/status/1732262111890297015,https://pbs.twimg.com/media/GAo6vvIWwAA_e2e?format=jpg&name=small,@beeple,Michael Saylor icing down a painful 72-hour erection ,525.00,1.4K,9.1K,690K
16/12/23,https://twitter.com/beeple/status/1736242572845007282,https://pbs.twimg.com/media/GBhfUL9WsAA1Kpk?format=jpg&name=small,@beeple,happy birthday jenpoe.  mlmylmylmylmylmy.,132.00,150,1K,81K
12/01/23,https://twitter.com/beeple/status/1730795917240836548,https://pbs.twimg.com/media/GAUFpXIWcAABDY6?format=jpg&name=small,@beeple,SELF-REFLECTION,135.00,277,1.7K,83K
