text,anticipation,fear,joy,positive,sadness,surprise,anger,disgust,negative,trust
day#everydays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legend ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u legend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"also, close to midnight cutoff!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"congrats, mike! an incredible milestone to your already amazing journey.",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"follow me, tweet and tagfriends get the nft for free. #nftart #nftcollector",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trippy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"you gotta have some kinda script for when you go on vacay or sumthin. 

be like mike.

mike makes #art. 

beep(le).",1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
omg zedd!! please release a new album!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xbdcccbbfeaebe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is hilarious . it's so lovingly bad ,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
"troll pumped , the #honk is turn",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
scary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that’s an understatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
who is this guy?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very skillful.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
would love to communicate,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
"don’t get these, but i understand that art is subjective.",1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
"""crutch"" by... who is perpetually amused by your disregard for. 

opensea.io/assets/ethereum/… ",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
it’s their arms around each other that gets me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
there seems to be a lot milking going on here.are these artists?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"okay , so aside from crack & hookers what could possibly be more fun than an art-off with one of your biggest fans and and the nemesis youve never heard of? thats what i'm sayin! 

you pick a theme, maybe props, or have em picked, we got a week to bang out awesome and share our respective pieces. this could be fuckin epic!!!im a broke as fuck artist with a piece of shit computer, a bad attitude, and a toothache ... whatcha scared of? lets fukin go!!! #dekevsbeeple",2.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,6.0,1.0
that’s creepy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice beard.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
there’s also a wolf or dog in yodas ear.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perhaps it's now #beeple walking away from their finished piece...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perhaps #markzuckerberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"that's the soul leaving the body because it doesn't have time for this shit. he'll be back for the sequel because the dev team is on one, this time",3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"it's glorified crap of this lame artist's projections

everything it spews is a reflection of himself more than actually being artistically perceptive",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"personally, i think it’s disgusting.",0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
this is trash not art.,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
"intriguingly amazing, dude bro!  stew for the arts got us all fascinated and captivated. loving the confusion and artistry! ",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
i do gud?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you are one of our times greatest artists ‍ bravo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thanks for the shoutout;)

#harrypotterobamasonicinu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has anyone seen my wet noodle?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what the grok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how do m & j feel being represented by mj? i see the magenta,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
you're an artist too man!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*pets*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look at hifo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"day…awesome, an artwork every day!  and i have to ponder and delve into all the details, figuring out what it's trying to tell me. and this is art, i am grateful! ",1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
iconic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
love it! ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
incredible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"duko loves you beeple, even without your support ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we see #trump in there, but where's his #mvp?

$mvp is setting itself up to go parabolic when the election narrative kicks off!

t.me/magavp",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hahahaha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the vp is right here,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$mvp yuuugggeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i am very supportive and ready to invest. #mvp #magavp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"#mvp just starting journey,alreadycexs listed justdays.
can you imagine that how team active?",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
$mvp for the people! wagmi sooner or later %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"#mvp has been right here the whole time, you just didn't notice",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#magavp #mvp $mvp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"say no more !
the #magavp is here ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"can’t wat to see how it develops i really like what i see, and look forward to seeing where this goes after the vp is announced. #mvp #magavp",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the gang,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
a young,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
congrats and good shit,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
freaking congrats dude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cus in the end, you're just a kid chasing your wildest dreams. like the rest of us.. except you're obviously better  congrats k beeps!! all the best ",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
what is on that paper?“uber....??”,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hot pockets ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hello friends lol ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i made an offer to buy your tweet:

v.cent.co/tweet/…",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
beast,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the perennial doodler,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"limited time deal
only .eth 
opensea.io/assets/matic/x…",2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
pedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"beeple! heroes of the year!
i love to be consider for your gallery. im looking for producer for animation short film - the oscar 
congrats on everything!

opensea.io/accounts/jamex",0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
i so would let my children clean out their college funds to buy this from you!,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"our first drop on superchief gallery ny, check it out)
superchiefgallerynft.com/",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i will give this nft for free if you follow and retweet. #nft #nftart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
