text,positive,trust,anger,disgust,fear,negative,sadness,anticipation,surprise,joy
real life cryptodickbutt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"until this is hanging in the moma, we're still early. ",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
i blamefor this.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is why i shouldn’t be on twitter before i fall asleep,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hey just scheduled your therapy session for tomorrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
getting into nfts was a mistake,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
this is…horrific.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its so leaky and meaty d:,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
call the police,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
any project founders able to mint me a neuralyzer from men in black? need to unsee something. can the devs do something?,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
it would never ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this one might break the internet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hahah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perfect answer ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
 yesss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beautiful  love the dedication,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hank from breaking bad your inspiration here? ‍,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
when this is in the moma we have jumped the shark.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
    so true,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
i don't know him but i hear he is a man of culture and great taste ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i know him well and will be sending you a -page prospectus first thing tomorrow.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
i blame the violence in the video games. ,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
an inquisition must happen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
i blame elon musk for this,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
one dick= one butt,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
didseen this?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lololololololol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is wonderfully horrific,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
omg! i can never unsee!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i need to go look at cute animals videos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks for putting this back in my feed really appreciate you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anytime brother,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freedom of speech = freedom of creative expression.,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
please help! can't unsee!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i have made a real . how you like it ?,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you must let the world know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hahahalost his freaking mind!!! (and i love it) ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bro i thoughtwas bad ,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
the link i wish i never clicked ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literally the worst art you’ve ever made,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
definitley greeaszy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delete your account,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""beeple: reminding you of your own inadequacies daily since """,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"mike what the fuck. 

how
do
i 
unsee
this
forever
???!!!??!!??

baaaahhhh hehfuwifiwjdjqbdkq",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if it needs a cell phone..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
like it? i love it!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
