text,positive,anticipation,negative,trust,anger,disgust,joy,surprise,fear,sadness
non-fungible elons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stoic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i think you should set up something similar or donate some of $ proceeds toto help preserve and build an incredible #nft collection for posterity , and to help foster this space ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"slimdoge nfts 

rarible.com/token/xddc…",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sell this to me ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i was waiting for it and you delivered of course ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this almost has a van gogh texture quality to it...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
he can’t miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hahaha yes!!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomorrow’s headline: “tesla converts % of balance sheet into nfes”,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"move doge's head too, plz.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best i can do ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is this nft for sale?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nah. beeple the original creator of the image but i don't think he has it for sale.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
not all heroes wear capes,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
this shit is hilarious,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
yoooo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"raf, r you selling nft ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a classic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is a scammer...... i wouldn't associate with this dude,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"i’ll sell you this one

rarible.com/token/xddc…",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fk u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dont fomo justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buy my nft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can we get a bid of $ million? .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we will build the biggest pump ever!
estimated profit of -%! 

join channel :t.me/whaleglobal

$btc $eth #nft $perl $enj $flow $ctsi #bsc $reef $aergo $sand $axs $tvk $alice $chz $stx $rose $troy $blz $bzrx $iris $tools $ada $dia $xrp $doge $atom $luna $zcx $bnb",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
how much would you bid on it?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we will build the biggest pump ever!
estimated profit of -%!

 join channel :t.me/whaleglobal

$btc $eth #nft $perl $enj $flow $ctsi #bsc $reef $aergo $sand $axs $tvk $alice $chz $stx $rose $troy $blz $bzrx $iris $tools $ada $dia $xrp $doge $atom $luna $zcx $bnb",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
almost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
:),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uh...no, but your suggestion to that point just added a few zeros to the ultimate value.i love bitcoin, but this nft thing is out of control.",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
have you ever seen a painting before,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
