text,
DAY 5000 #everydays,
LEGEND 🥇,
U legend,
"Also, close to midnight cutoff!",
🙏🏻🙏🏻🙌,
"Congrats, Mike! An incredible milestone to your already amazing journey.",
"Follow me, tweet and tag 2 friends get the NFT for free. #nftart #nftcollector",
Trippy,
No,
"You gotta have some kinda script for when you go on vacay or sumthin. 

Be like Mike.

Mike makes #Art. 

Beep(le).",
😍😍😍😍,
👍,
Omg zedd!! Please release a new album!,
Fr,
👍,
twitter.com/DarioAndriolo/st…,
0xB543dC6C292c5B03839557B21FEA88991Eb026e1 @Ramazan44818206 @AlparslanKdk1,
This is hilarious 😁. It's so lovingly bad 😍,
"TROLL pumped , the #HONK is turn",
Scary,
That’s an understatement,
twitter.com/DarioAndriolo/st…,
Who is this guy?,
Very skillful.,
Would love to communicate,
"Don’t get these, but I understand that art is subjective.",
"""Crutch"" by @DekeSlade ... who is perpetually amused by your disregard for. 

opensea.io/assets/ethereum/0… 😜",
It’s their arms around each other that gets me,
there seems to be a lot milking going on here.  Are these artists?,
"Okay @Beeple, so aside from crack & hookers what could possibly be more fun than an art-off with one of your biggest fans and and the nemesis youve never heard of? Thats what I'm sayin! 😜

You pick a theme, maybe props, or have em picked, we got a week to bang out awesome and share our respective pieces. This could be fuckin epic!!!   Im a broke as fuck artist with a piece of shit computer, a bad attitude, and a toothache ... whatcha scared of? Lets fukin go!!! #DekeVsBeeple",
@pderrico_49 @rebeccapham,
That’s creepy,
Nice beard.,
There’s also a wolf or dog in yodas ear.,
Perhaps it's now #Beeple walking away from their finished piece...,
Perhaps #MarkZuckerberg,
Bdc,
"that's the soul leaving the body because it doesn't have time for this shit. he'll be back for the sequel because the dev team is on one, this time",
"it's glorified crap of this lame artist's projections

everything it spews is a reflection of himself more than actually being artistically perceptive",
"Personally, I think it’s disgusting.",
This is trash not art.,
,
"Intriguingly amazing, dude bro! 🌟 Stew for the arts got us all fascinated and captivated. Loving the confusion and artistry! 🎨",
i do gud?,
You are one of our times greatest artists 👩‍🎨 bravo 🙌,
🎯,
"Thanks for the shoutout;)

#HarryPotterObamaSonic10Inu",
Has anyone seen my wet noodle?,
What the grok,
How do M & J feel being represented by MJ? I see the Magenta ,2023-12-18T23:57:00.000Z
👏🏿👏🏿👏🏿🎉,
You're an Artist too man!,
*pets*,
👀,
Look at hifo,
,
"Day 5000 …awesome, an artwork every day! 🎉 And I have to ponder and delve into all the details, figuring out what it's trying to tell me. And this is art, I am grateful! ❤️🙏",
Iconic,
Love it! 😍💜,
Incredible,
"Duko loves you beeple, even without your support 💜💜💜",
"We see #TRUMP in there, but where's his #MVP?

$MVP is setting itself up to go parabolic when the election narrative kicks off!

t.me/magavp",
No,
🔥,
Hahahaha,
The VP is right here @magaVPcoin,
$MVP YUUUGGGEEE,
I am very supportive and ready to invest. #MVP #MAGAVP,
"#MVP just starting journey,Already 8 CEXs listed just 14 days.
Can you imagine that how team active?",
$MVP For the people! Wagmi sooner or later 100%,
"#MVP has been right here the whole time, you just didn't notice",
#MAGAVP #MVP $MVP,
"Say no more !
The #MAGAVP is here 🔥🔥🔥",
"can’t wat to see how it develops I really like what I see, and look forward to seeing where this goes after the VP is announced. #MVP #MAGAVP",
the gang,
A young @beeple,
congrats and good shit,
FREAKING CONGRATS DUDE,
nut,
"Cus in the end, you're just a kid chasing your wildest dreams. Like the rest of us.. except you're obviously better 💕👁️✨ congrats 5k beeps!! All the best 👏🏼✨🚀🔥",
What is on that paper?  “Uber....??”,
Hot pockets 👀❤️,
Hello friends lol 🙌😂🔥,
"I made an offer to buy your tweet:

v.cent.co/tweet/134740607468… @cent",
👍,
👍,
Beast,
twitter.com/DarioAndriolo/st…,
No way,
The perennial doodler,
twitter.com/DarioAndriolo/st…,
👍,
twitter.com/DarioAndriolo/st…,
"Limited time deal
Only 0.005ETH 
opensea.io/assets/matic/0x29…",
👍,
Pedo,
twitter.com/DarioAndriolo/st…,
"Beeple! Heroes of the year!
I love to be consider for your gallery. Im looking for Producer for animation short film - the oscar 
Congrats on everything!

opensea.io/accounts/jamex",
I so would let my children clean out their college funds to buy this from you!,
,
"Our first drop on SUPERCHIEF gallery NY, check it out)
superchiefgallerynft.com/",
I will give this NFT for free if you follow and retweet. #nft #nftart,
I wanna fuck creepy Mario so bad man,
🔥🔥🔥,
That would look so cool on the wall. Trade?,
Crazy cool!,
🤷🏻‍♀️,
"Framed, yes.",
Amazing !!!👏👏👏🖼🎨,
How can I find this collection?,
twitter.com/DarioAndriolo/st…,
I own it already...I just copied it to my clip board,
Aa,
Grate,
t.me/ZeroXZQ_chat/207,
"TROLL pumped , the #HONK is turn",
twitter.com/DarioAndriolo/st…,
"TROLL pumped , the #HONK is turn",
twitter.com/DarioAndriolo/st…,
@beeple I think you need this piece for your personal collection,2022-01-26T16:29:00.000Z
Kim's never looked so good!!!!,
just like momma used to make,
Neeple.,
Hi Beeple!,
Bruh you didn’t have to do pikachu like that… 💀💀💀💀😂,
Wen talent ?,
😄,
Motivation (re)Creation reward,
t.me/ZeroXZQ_chat/207,
💀,
I’m invisible sorry,
"Wang Du, 'The Family' 1997",
"This is the 1st time I just noticed this.., do you have something written somewhere that shares more detail or perspective about this piece? I’m super curious!",
so many interesting details in this one 👀,
When Veve??,
Hahahaahahahsg,
Congrats!,
"Very Nostalgic great Creative execution and a great layout as well. Good coloring and special efx Thanks, beeple",
some all stars there,
@beeple you’re a true inspiration. I truly hope one day I can afford some of your amazing pieces of work. You’re a #legend,
Are these from your childhood nightmares?,
Yeah I’m curious who that person is and what’s the meaning behind it.,
Kind comment,
Wow!,
DAY 5 #bearples,
who's the baby goldfish?,
I fucking love it,
this one is just gross and defiled,
So beautiful💖💖,
"idk Michael, looks like the kid might be your son",
🤣🤣,
,
everyday -.-,
🔥 ASF 🐻📈,
🐻📈,
🐻📈,
🐻📈,
Sketchy,
"🌨🐻💨
🖍🏂🏔",
👀🔥🐻 so fucking fire,
🐻📈,
"the whole gang in the bottom right chillin 🐻💨
Cave Dwellers
@CeejThaGod @uhmil @THENEONPIGGY",
👀,
Lolol,
Mint it on DigiByte,
🔥,
What a determination! Impressed!🔥,
What’s the best way to contact you and setup a meeting? I have a potential proposal for you bud. Love your work! Can you send me your email address? This is for real and it could be a really good business venture. I’m recruiting one top dog ai 3d artist for the opportunity.,
Wow 🔥,
"As an expecting father, this is a warming reminder that I'm bringing my child into a world that has her best interests in mind. Thank you Beeps.",
The coin that lived. $HPOS10I,
😅😂,
😂😂😂,
"INTERNATIONAL COMMUNITY $Mickey
WE THE PEOPLE... FREE AT LAST 
lets rug disney",
I solved your dreams! I now you love 🍔 #FLRBRG,
"@NFTmarsbase  super utilitarian collection opens up new uses for #NFT
Check it out today, tomorrow the collection will cost completely different money.
I advise everyone to study what the OTC market is - there are potential Xs on the next bull run.
@MARSBASEio",
"I’ve seen this pen a million times, maybe someone already posted this take. Beeple this is you as a child 💯 deep in thoughts and creativity",
,
Mr Beeple check out @reepzNFT and claim your honorary 🔥💀🔥💀🔥💀🔥,
"You miss this !!! @reepzNFT is waiting for you, LET’S DO THIS @beeple !!🔥🚀🍻",
Imagination is a beautiful thing 😅💯,
How can I learn from you,
Oh wow ! 🔥🔥🔥🚀,
i love this pin tweet and come look at it almost daily,
"Wow, this post is pure inspiration! 🌟 Love the creativity and passion you've poured into it. 🎨 Keep shining bright and spreading your awesomeness!",
🫡,
Awesome 👌,
POW POW🔥🔥🔥,
,
So true,
Nice😉,
🍔🫡🔥,
brilliant. thoughts about $FLRBRG give us faith in going to Mars,
$MICKEY,
Cow is our mother,
"Man , your are awsome ! Maybe we'll see your #cryptoart  on Stater's platform . You will be able to borrow your #NFTs  for #Ethereum  .  @StaterFinance  will launch its platform soon , until then you may test it on stater.co  . Good luck!",
Has anyone ever come after you for IP you don't own?,
this kid is wasting his time on arts. He must get a real job.,
pogging pogs everywhere!,
This art is trash with no context,
you are super human  that makes me want to follow  (or you are an alien)🧐🧐🧐🧐🧐,
sebi why,
Perfect <3,
"Beeple verse looks so pop after all, you need some more underground figures beep' 😋",
$DUBX @IAmCryptoWolfy,
,
Congrats on day 5000!,
"@tipcoineth
$tip",
🚀🚀🚀🚀,
Fuck this is trash lmfao,
,
0xB608FE0f863af0dc0b7A125896B37F537D8631e1 #EVERYDAY,
THE TICKER IS $DAY5000,
"Ive been following the guy for a while, he makes something this cursed everyday

There are 4999 more of these",
we will  create a buyer persona and customer journey for your product/service so you can effectively create a marketing strategy and gain more sales for your business including a profitable digital marketing strategy.magnaoffshores.com/market-re…,
twitter.com/DarioAndriolo/st…,
It's clear he's into cp. Sick fk,
twitter.com/DarioAndriolo/st…,
👍,
twitter.com/DarioAndriolo/st…,
Bro Kim?,
😆😁🤣,
Art with fart,
Hot Pockets,
Forgot the cup that literally has white women going crazy for $STAN,
"@beeple let’s see some black and white on #everydays

#MIAWILD on @Voi_Net 

#VoiGames #DigitalArt #NFT",
I thought I was doing dailies for a long time,
Sick 🔥,
$DWIF xD,
I never did them scooch over,
“Both Warhol's subject matter and his flippant attitudes toward the conventions of the art world were the antithesis of the high-seriousness of modernism. And the rub of it was that his celebrations of the inconsequential were being taken seriously. It was a nasty slap in the face for those seeped in the myths of modernism.”,
Wawoo,
No,
🚀🚀🚀,
🔥🔥🔥,
👀,
"Elon Musk’s Twitter Intro => Chief $Troll Officier

$Troll Contract Address (ETH)

0xf8ebf4849f1fa4faf0dff2106a173d3a6cb2eb3a

Telegram: 
t.me/trollzeinternet
t.me/troll_erc20_chinese",
🤣🤣🤣🤣🤣🤣🤣🤣,
"hey , Please send me DM let's collaborate 📥",
Your amazing 👏 project is  needed for the future. Let's chat about its boom boom🚀💥🚀.,
"so scary, on so many levels! congrats 😂😂",
💪💪💪💪,
This is based. Master Bason approves.,
"Hey Beeple, need someone like you. Help us move our arsenal of memes.",
"There are many so called “squid game v2 or squid game erc20 token or squid game 3D” projects on the market, turns out they rug pull people again. Do not fall into those scams. They are the same scammers. 
#binance   #bnb   #squidgame  $SQUID",
😆 🤣 😂 😹 😆 🤣 😂 😹,
@simply256 free mint,
Get NOTE OF MEME $NOME 6vimPh3EAebnXDFiDMYz7rxNcwLwQfG4mtuV7BTrmT9p,
GMDM,
@Simply256,
,
"This looks like a world that would appreciate the likes of:

Harry Potter
Obama
Sonic
The number 10
And any associated Inu dogs

Cohesively curated in harmony

I shill to you beeple 

The future

@hpos10iETH",
When and how would @reepzNFT get the opportunity to be slapped on one of these? You have an honorary. Maybe implementing that would be a possibility 🤔 🫵🐐,
"Miiiauuu the tongue stays out miiaau 
$Luis",
t.me/ArbDogeAIPersianOfficia…,
t.me/ArbDogeAIPersianOfficia…,
$shepe community what ideas do you have to increase the burning of #shepe ? 🔥🔥,
,
If I send you my nft can you please rate it. I’ve been working on it for over a year now,
#harrypotterobamasonic10inu is your next work?,
@beeple is a clown 🤡 for paying 113.69ETH for a derivative when he could’ve bought the original @v1punks and saved about 110ETH‼️😂😭🤷🏾‍♂️,
Hello! Maybe you'd like to do promo on my page?   looks like a very high quality project. let's do it work together . Send me a message please📩,
,
Hurrah! The Obscenery is fucking useless Jihad me in Obscenery. Born ruthless Until the rivers run dry & you’re caught in the middle... what you made In The division of thighs from the hole where the empathy used to be Hurrah!  yewtu.be/watch?v=CpYXGbdQ…,
These are beyond our stoopid cats stuff..,
"Hi, amazing project send me DM 📥 please.",
@beeple This comment and attitude is not reflection of the V1 founders or the V1 community as a whole.,
Absolutely…it’s just my personal opinion. Also just poking fun…😂🤣😭,
,
,
"It’s true, all those things are Trannies and sex pervs polluting our children. Who is the boy Drawing a picture of? Some guy with a mustache!",
,
"@CaptainInuToken is about to go places 🔥🔥
see you on moon #CPTINU $CPTINU #GEM #NFT #NFTs
SOUND ON ⬇️",
"🌟A DIGITAL SALMON - Your best #NFT #digitalsalmon🌟

Warren Buffett quote:

✅#animal 
✅#nftcollectors 
✅#NFTs  

@SnoopDogg @jakepaul @wolfofwallst @The_OpenDAO @opensea @dogecoin @Shibtoken $DOGE $BTC $ETH #fish #BTC #ETH #FishCrypto #SHIBA $SHIBA 

opensea.io/assets/0x495f9472…",
